Person Name,Person ID,Modification Type,Year,Citation
Charles I the Warrior/de Savoie/,10240,Added Month of Death,1490,"https://en.wikipedia.org/wiki/Charles_I,_Duke_of_Savoy"
Charles II John Amadeus/de Savoie/,10241,Added Birth Date,1489,"https://en.wikipedia.org/wiki/Charles_II,_Duke_of_Savoy"
Philip II of Bresse/de Savoie/,10242,Added Birth Date,1438,"https://en.wikipedia.org/wiki/Philip_II,_Duke_of_Savoy"
Charles II the Good/de Savoie/,10243,Added Birth Date,1486,"https://en.wikipedia.org/wiki/Charles_III,_Duke_of_Savoy"
Emmanuel Philibert /de Savoie/,10244,Added Birth Date,1528,"https://en.wikipedia.org/wiki/Emmanuel_Philibert,_Duke_of_Savoy"
Francis Hyacinth /de Savoie/,10247,Added Birth Date,1632,"https://en.wikipedia.org/wiki/Francis_Hyacinth,_Duke_of_Savoy"
Niccol III of Ferrara,10301,Added Birth Date,1383,"https://en.wikipedia.org/wiki/Niccol%C3%B2_III_d%27Este,_Marquis_of_Ferrara"
Niccol III of Ferrara,10301,Added Month of Death,1441,"https://en.wikipedia.org/wiki/Niccol%C3%B2_III_d%27Este,_Marquis_of_Ferrara"
Leonello of Ferrara,10302,Added Birth Date,1407,"https://en.wikipedia.org/wiki/Leonello_d%27Este,_Marquis_of_Ferrara"
Borso of Ferrara,10303,Added Birth Date,1413,https://www.wikitree.com/wiki/Este-80
Borso of Ferrara,10303,Added Month of Death,1471,https://www.wikitree.com/wiki/Este-80
Ercole I of Ferrara,10304,Added Birth Date,1431,"https://en.wikipedia.org/wiki/Ercole_I_d%27Este,_Duke_of_Ferrara"
Ercole I of Ferrara,10304,Added Month of Death,1505,"https://en.wikipedia.org/wiki/Ercole_I_d%27Este,_Duke_of_Ferrara"
Alfonso I of Ferrara/d'Este/,10305,Added Birth Date,1476,https://www.britannica.com/biography/Alfonso-I-duke-of-Ferrara-1505-1534
Alfonso I of Ferrara/d'Este/,10305,Added Month of Death,1534,https://www.britannica.com/biography/Alfonso-I-duke-of-Ferrara-1505-1534
Ercole II of Ferrara/d'Este/,10306,Added Birth Date,1508,"https://en.wikipedia.org/wiki/Ercole_II_d%27Este,_Duke_of_Ferrara"
Ercole II of Ferrara/d'Este/,10306,Added Month of Death,1559,"https://en.wikipedia.org/wiki/Ercole_II_d%27Este,_Duke_of_Ferrara"
Alfonso II of Ferrara/d'Este/,10307,Added Birth Date,1533,"https://en.wikipedia.org/wiki/Alfonso_II_d%27Este,_Duke_of_Ferrara"
