id,year,type
826,1805,Other
827,1805,Other
828,1805,Other
829,1805,Other
830,1805,Other
831,1805,Other
832,1805,Other
833,1805,Other
834,1805,Other
835,1805,Other
836,1805,Other
837,1805,Other
838,1806,Other
839,1806,Other
840,1806,Other
841,1806,Other
842,1806,Other
843,1806,Other
844,1806,Other
845,1806,Other
846,1806,Other
847,1806,Other
848,1806,Other
849,1806,Other
850,1806,Other
851,1806,Other
852,1806,Other
853,1806,Other
854,1806,Other
855,1806,Other
856,1806,Other
857,1806,Other
858,1807,Other
859,1807,Other
860,1516,Other
861,1688,Balance of Power
862,1688,Balance of Power
863,1688,Balance of Power
864,1688,Balance of Power
865,1689,Balance of Power
866,1689,Balance of Power
867,1689,Balance of Power
868,1689,Balance of Power
869,1690,Balance of Power
870,1690,Balance of Power
871,1690,Balance of Power
872,1690,Balance of Power
873,1691,Balance of Power
874,1691,Balance of Power
875,1691,Balance of Power
876,1691,Balance of Power
877,1692,Balance of Power
878,1692,Balance of Power
879,1692,Balance of Power
880,1692,Balance of Power
881,1693,Balance of Power
882,1693,Balance of Power
883,1693,Balance of Power
884,1693,Balance of Power
885,1694,Balance of Power
886,1694,Balance of Power
887,1694,Balance of Power
888,1694,Balance of Power
889,1695,Balance of Power
890,1695,Balance of Power
891,1695,Balance of Power
892,1695,Balance of Power
893,1696,Balance of Power
894,1696,Balance of Power
895,1696,Balance of Power
896,1696,Balance of Power
897,1697,Balance of Power
898,1697,Balance of Power
899,1697,Balance of Power
900,1697,Balance of Power
901,1499,Defensive
902,1500,Defensive
903,1501,Defensive
904,1502,Defensive
905,1503,Defensive
906,1512,Balance of Power
907,1513,Balance of Power
908,1514,Balance of Power
909,1515,Balance of Power
910,1516,Balance of Power
911,1517,Balance of Power
912,1518,Balance of Power
913,1519,Balance of Power
914,1521,Defensive
915,1521,Defensive
916,1522,Defensive
917,1522,Defensive
918,1523,Defensive
919,1523,Defensive
920,1524,Defensive
921,1524,Defensive
922,1525,Defensive
923,1525,Defensive
924,1526,Defensive
925,1526,Defensive
926,1527,Defensive
927,1527,Defensive
928,1528,Defensive
929,1528,Defensive
930,1529,Defensive
931,1529,Defensive
932,1530,Defensive
933,1530,Defensive
934,1531,Defensive
935,1531,Defensive
936,1532,Defensive
937,1533,Defensive
938,1534,Defensive
939,1537,Defensive
940,1538,Defensive
941,1539,Defensive
942,1540,Defensive
943,1541,Defensive
944,1542,Defensive
945,1543,Defensive
946,1544,Defensive
947,1545,Defensive
948,1546,Defensive
949,1547,Defensive
950,1551,Defensive
951,1551,Defensive
952,1552,Defensive
953,1552,Defensive
954,1553,Defensive
955,1553,Defensive
956,1554,Defensive
957,1554,Defensive
958,1555,Defensive
959,1555,Defensive
960,1556,Defensive
961,1556,Defensive
962,1557,Defensive
963,1557,Defensive
964,1558,Defensive
965,1558,Defensive
966,1559,Defensive
967,1559,Defensive
968,1560,Defensive
969,1560,Defensive
970,1561,Defensive
971,1561,Defensive
972,1562,Defensive
973,1562,Defensive
974,1563,Defensive
975,1563,Defensive
976,1564,Defensive
977,1564,Defensive
978,1565,Defensive
979,1565,Defensive
980,1566,Defensive
981,1566,Defensive
982,1567,Defensive
983,1567,Defensive
984,1568,Defensive
985,1568,Defensive
986,1559,Defensive
987,1560,Defensive
988,1561,Defensive
989,1565,Defensive
990,1566,Defensive
991,1567,Defensive
992,1568,Defensive
993,1570,Defensive
994,1571,Defensive
995,1572,Defensive
996,1573,Defensive
997,1574,Defensive
998,1575,Defensive
999,1576,Defensive
1000,1577,Defensive
1001,1578,Defensive
1002,1579,Defensive
1003,1580,Defensive
1004,1583,Defensive
1005,1584,Defensive
1006,1585,Defensive
1007,1586,Defensive
1008,1587,Defensive
1009,1588,Defensive
1010,1589,Defensive
1011,1590,Defensive
1012,1610,Defensive
1013,1611,Defensive
1014,1612,Defensive
1015,1613,Defensive
1016,1614,Defensive
1017,1615,Defensive
1018,1616,Defensive
1019,1617,Defensive
1020,1618,Defensive
1021,1619,Defensive
1022,1665,Civil
1023,1666,Civil
1024,1667,Civil
