id,name,year_birth,year_death,dinasty
23005,Anne Marie van Nassau-Dietz,1746.0,1746.0,Nassau-Dietz
23006,William  von Hessen-Cassel,1741.0,1742.0,Hessen-Cassel
23007,Charles William of Nassau-Usingen,1735.0,1803.0,Nassau-Usingen
23008,Amalia Sophia Marianne von Walmoden,1704.0,1765.0,Walmoden
23009,John Louis von Walmoden-Gimborn,1736.0,1811.0,Walmoden-Gimborn
23010,Hannah  Lightfoot,1730.0,1759.0,Lightfoot
23011,ElizabethofBrabant,1243.0,1261.0,Brabant
23012,Clementina  von Z\x84hringen,,,Z\x84hringen
23013,Conrad I von Z\x84hringen,,,Z\x84hringen
23014,Ida  von Bliescastel,,,Bliescastel
23015,Gottfried III von Bliescastel,,,Bliescastel
23016,Otto  von Northeim,,1083.0,Northeim
23017,Richenza  von Werl,,,Werl
23018,Hermanns III von Werl,,,Werl
23019,Gebhard  von Supplinburg,,1075.0,Supplinburg
23020,Hedwig  von Formbach,1050.0,1100.0,Formbach
23021,Friedrich  von Formbach,,,Formbach
23022,Gertrude  von Meissen,,1117.0,Meissen
23023,Ekberts I von Meissen,,,Meissen
23024,SophieofHungary,,1095.0,Hungary
23025,Ordulf of Saxony,,1072.0,Saxony
23026,UlfhildofDenmark,,1070.0,Denmark
23027,Gertrude  von Haldensleben,,1116.0,Haldensleben
23028,Conrad  von Haldensleben,,,Haldensleben
23029,Wichmann  Billung,,,Billung
23030,Wichmann  Billung,,,Billung
23031,Ekbert  Billung,,,Billung
23032,Suanehild  Billung,,,Billung
23033,Liudger  Billung,,1011.0,Billung
23034,Emma,,1038.0,
23035,Margrave  Thietmar,,,Thietmar
23036,Ekkehard  von Meissen,,1002.0,Meissen
23037,Thietmar of Saxony,,1048.0,Saxony
23038,Hermann of Saxony,,1086.0,Saxony
23039,Bernard of Saxony,,,Saxony
23040,Eilica of Saxony,1080.0,1142.0,Saxony
23041,Otto  von Ballenst\x84dt,1075.0,1123.0,Ballenst\x84dt
23042,Albrecht of Bar,1100.0,1170.0,Bar
23043,Ethelinde  von Northeim,,,Northeim
23044,WelfofAltdorf,,,Altdorf
23045,EtichoofAltdorf,,,Altdorf
23046,HenrywiththeGoldenWagon,,,Wagon
23047,RudolfI,,,I
23048,RudolfIIofAltdorf,,,Altdorf
23049,Frederick V von Hessen-Homburg,1748.0,1820.0,Hessen-Homburg
23050,Wilhelm Adolf of Brunswick,1745.0,1770.0,Brunswick
23051,daughter  von W\x81rttemberg,1798.0,1798.0,W\x81rttemberg
23052,Adelaide  Dubus,,,Dubus
23053,Adelaide Victoria Augusta Hanover,1789.0,1790.0,Hanover
23054,Julie  de St Laurent,,,Laurent
23055,sons  Hanover,,,Hanover
23056,Charles Frederick William of Leiningen,1804.0,1856.0,Leiningen
23057,Anne Feodora Augusta of Leiningen,1807.0,1872.0,Leiningen
23058,Ernest of Hohenlohe-Langenburg,1794.0,1860.0,Hohenlohe-Langenburg
23059,Mary of Kleklesburg,1806.0,1880.0,Kleklesburg
23060,Maximilian of Kleklesburg,,,Kleklesburg
23061,Brent  Spencer,,1828.0,Spencer
23062,George  Ramus,,,Ramus
23063,Eliza  Ramus,1786.0,,Ramus
23064,James  Money,,,Money
23065,George  FitzErnest,,1828.0,FitzErnest
23066,George William of Hesse-Darmstadt,1722.0,1782.0,Hesse-Darmstadt
23067,Luise  von Leiningen-Heidesheim,1729.0,1818.0,Leiningen-Heidesheim
23068,Charlotte of Hesse-Darmstadt,1755.0,1785.0,Hesse-Darmstadt
23069,Frederick William Henry Solms-Braunfels,1801.0,1868.0,Solms-Braunfels
23070,Son of Solms-Braunfels,1801.0,,Solms-Braunfels
23071,Augusta Louisa of Solms-Braunfels,1804.0,1865.0,Solms-Braunfels
23072,Alexander Frederick of Solms-Braunfels,1807.0,1867.0,Solms-Braunfels
23073,Frederick William of Solms-Braunfels,1812.0,1875.0,Solms-Braunfels
23074,Marie  L\x94wwenstein-Wertheim-Rochefort,,,L\x94wwenstein-Wertheim-Rochefort
23075,Constantine  L\x94wenstein-Wertheim-Rochefor,,,L\x94wenstein-Wertheim-Rochefor
23076,Louise  von Landsberg-Steinf\x81rt,1835.0,,Landsberg-Steinf\x81rt
23077,Engelbert  von Landsberg-Steinf\x81rt,,,Landsberg-Steinf\x81rt
23078,Albert of Schwarzbourg-Roudolstadt,1798.0,1869.0,Schwarzbourg-Roudolstadt
23079,Mary Anne Kinsky,1809.0,1892.0,Kinsky
23080,Francis  Kinsky,,,Kinsky
23081,Charless  Hesse,,,Hesse
23082,Count  L\x82on,,,L\x82on
23083,Walter  von Schaper,,,Schaper
23084,Angelina Selina Bianca St.Clair-Erskine,1876.0,1950.0,St.Clair-Erskine
