id,name,year_birth,year_death,family,title
5811,James of RothesayStuart,1540.0,1541.0,RothesayStuart,Duke of Rothesay
5812,Arthur (Robert) of RothesayStuart,1541.0,1541.0,RothesayStuart,Duke of Rothesay
5813,Twin Hepburn,1568.0,1568.0,Hepburn,
5814,Twin Hepburn,1568.0,1568.0,Hepburn,
5815,Henry,1102.0,,Henry,
5816,AlfonsoVIof,,1109.0,of,King of Galicia & Leon
5817,Humbertof,,,of,Count of Virtus
5818,Sybilla Corbet,,,Corbet,
5819,Euphamia,1101.0,,Euphamia,
5820,Robert Fitzhamon,,,Fitzhamon,Lord of Glamorgan
5821,Mabel Fitzhamon,,1157.0,Fitzhamon,
5822,Hawise de Beaumont,,1197.0,Beaumont,
5823,Rosamund (Joan) Clifford,1137.0,1176.0,Clifford,
5824,William of SalisburyLongesp\x82e,1160.0,1226.0,SalisburyLongesp\x82e,Earl of Salisbury
5825,Geoffrey Plantagenet,1159.0,1212.0,Plantagenet,Archbishop of York
5826,Philipof,,1121.0,of,Lord of Cognac
5827,Matilda Plantagenet,1185.0,,Plantagenet,
5828,John,1232.0,1233.0,John,
5829,Isabella,1233.0,1234.0,Isabella,
5830,Nicholas,1240.0,1240.0,Nicholas,
5831,Gaston VII of B\x82arnde Moncada,1229.0,1290.0,Moncada,Viscount of B\x82arn
5832,Constance de Marsan,,1299.0,Marsan,
5833,Richard,1246.0,1246.0,Richard,
5834,Mary,,,Mary,
5835,John de Joinville,,,Joinville,Seneschal of Champagne
5836,Alix de Joinville,,,Joinville,
5837,John D'Arcis-sur-Aube et de Chacenay,,1307.0,Chacenay,Lord of Arcis-sur-Aube
5838,Isabella,1279.0,1279.0,Isabella,
5839,John Botetourt,1265.0,1324.0,Botetourt,Lord of Mendlesham
5840,Matilda de Burgh,,1320.0,Burgh,
5841,William la Zouchede Mortimer,,1336.0,Mortimer,
5842,Hugh de Audley,1289.0,1347.0,Audley,Earl of Gloucester
5843,Alice Perrers,1348.0,1400.0,Perrers,
5844,Thomas,1347.0,1348.0,Thomas,
5845,Joan Plantagenet,1438.0,1438.0,Plantagenet,
5846,John of ShrewsburyTalbot,1413.0,1460.0,ShrewsburyTalbot,Earl of Shrewsbury 2nd
5847,Eleanor Butler,,1468.0,Butler,
5848,John Mowbray,1444.0,1476.0,Mowbray,Duke of Norfolk 4
5849,Edward De La Pole,,,Pole,
5850,John Packenham,,,Packenham,Sir
5851,Constance Packenham,,1570.0,Packenham,
5852,John Plantagenet,1374.0,1375.0,Plantagenet,
5853,John Plantagenet,1366.0,,Plantagenet,
5854,Edward Plantagenet,1364.0,1364.0,Plantagenet,
5855,John Plantagenet,,,Plantagenet,
