id,name,year_birth,year_death,family,title
5469,Alexander of Schleswig-Holstein,1573.0,1627.0,Schleswig-Holstein,Duke Schleswig-Holstein
5470,August Philipp ofSchleswig-Holstein,1612.0,1675.0,ofSchleswig-Holstein,Duke Schleswig-Holstein
5471,Frederick Louis ofSchleswig-Holstein,1653.0,1728.0,ofSchleswig-Holstein,Duke Schleswig-Holstein
5472,Peter August ofSchleswig-Holstein,1696.0,1775.0,ofSchleswig-Holstein,Duke Schleswig-Holstein
5473,Karl Anton August ofSchleswig-Holstein,1727.0,1759.0,ofSchleswig-Holstein,
5474,Frederick Karl ofSchleswig-Holstein,1757.0,1816.0,ofSchleswig-Holstein,Duke Schleswig-Holstein
5475,Olaf of SwedenSk\x94tkonung,,1022.0,SwedenSk\x94tkonung,King of Sweden
5476,Anund (Jacob) of SwedenOlafsson,,1050.0,SwedenOlafsson,King of Sweden
5477,Emund the Old of SwedenOlafsson,,1060.0,SwedenOlafsson,King of Sweden
5478,Erik of SwedenKnutsson,,1216.0,SwedenKnutsson,King of Sweden
5479,Ingeborg Eriksdottir,,1254.0,Eriksdottir,
5480,Birger of Bj\x84lboFolkunga,,1266.0,Bj\x84lboFolkunga,Regent of Sweden
5481,Valdemar of SwedenBirgersson,1243.0,1302.0,SwedenBirgersson,King of Sweden
5482,Euphemia Eriksdottir,1317.0,1336.0,Eriksdottir,
5483,Albert II von Mecklenburg,1318.0,1379.0,Mecklenburg,Duke of Mecklenburg
5484,Albert of Swedenvon Mecklenburg,1340.0,1412.0,Mecklenburg,King of Sweden
5485,Erik (St.) of SwedenJedvardsson,,1160.0,SwedenJedvardsson,King of Sweden
5486,Knut of SwedenEriksson,,1196.0,SwedenEriksson,King of Sweden
5487,Erik of SwedenEriksson,1216.0,1250.0,SwedenEriksson,King of Sweden
5488,Son,,,Son,
5489,Son,,,Son,
5490,KnuttheTallof,,1234.0,of,King of Sweden
5491,Charles XIII of SwedenHolstein-Gottorp,1748.0,1818.0,SwedenHolstein-Gottorp,King of Sweden
5492,Charles XII of Swedenvon Simmern,1682.0,1718.0,Simmern,King of Sweden
5493,Ulrica Eleonora von Simmern,1688.0,1741.0,Simmern,Queen of Sweden
5494,Charles X Gustavusvon Simmern,1622.0,1660.0,Simmern,King of Sweden
5495,Hedwig Eleonora von Holstein-Gottorp,1636.0,1715.0,Holstein-Gottorp,
5496,Frederick VII von Baden-Durlach,1647.0,1709.0,Baden-Durlach,Margrave Baden-Durlach
5497,Christian Augustus von Holstein-Gottorp,1673.0,1726.0,Holstein-Gottorp,Duke Holstein-Gottorp
5498,Charles IX of SwedenVasa,1550.0,1611.0,SwedenVasa,King of Sweden
5499,Gustav II Adolf of SwedenVasa,1594.0,1632.0,SwedenVasa,King of Sweden
5500,Catherine Vasa,1584.0,1638.0,Vasa,
5501,Christina Vasa,1626.0,1689.0,Vasa,Queen of Sweden
5502,John Casimir von Simmern,1589.0,1652.0,Simmern,Count of Kleeburg
5503,Gustav I Vasa,1496.0,1560.0,Vasa,King of Sweden
5504,Erik XIV of SwedenVasa,1533.0,1577.0,SwedenVasa,King of Sweden
5505,John III of SwedenVasa,1537.0,1592.0,SwedenVasa,King of Sweden
5506,Sigismund III of SwedenVasa,1566.0,1632.0,SwedenVasa,King of Poland
5507,Piastof,,,of,Duke of Poland
5508,Ziemowitof,,,of,Duke of Poland
5509,Lemzekof,,,of,Duke of Poland
5510,Ziemonislawof,,,of,Duke of Poland
5511,BoleslawItheBraveof,,1025.0,of,King of Poland
5512,MieszkoIILambertof,,1034.0,of,King of Poland
5513,CasimirItheRestorerof,1015.0,1058.0,of,Duke of Poland
5514,BoleslawIItheBoldof,,1081.0,of,King of Poland
5515,WladyslawI(Herman)of,1043.0,1102.0,of,Duke of Poland
5516,Zbigniewof,,1107.0,of,Duke of Poland
5517,BoleslawIIIWrymouthof,1084.0,1138.0,of,Duke of Poland
5518,WladyslawIItheExileof,1105.0,1159.0,of,Duke of Cracow
5519,BoleslawIVof,,1173.0,of,Duke of Cracow
5520,MieszkoIIItheElderof,1126.0,1202.0,of,Duke of Cracow
5521,CasimirIItheJustof,1138.0,1194.0,of,Duke of Cracow
5522,LeszekItheWhiteof,,1227.0,of,Duke of Cracow
5523,Wladyslaw III Spindleshanks of Cracow,,1231.0,Cracow,Duke of Cracow
5524,HenryItheBeardedof,,1238.0,of,Duke of Cracow
5525,BoleslavIof,,1201.0,of,Duke of Silesia
5526,Conradof,,1247.0,of,Duke of Cracow
5527,HenryIIthepiousof,,1241.0,of,Duke of Cracow
5528,BoleslawVtheChasteof,,1279.0,of,Duke of Cracow
5529,Casimirof,,1267.0,of,
5530,LeszekIItheBlackof,,1288.0,of,Duke of Cracow
5531,HenryIIIof,,1266.0,of,
5532,HenryIVProbusof,1253.0,1290.0,of,Duke of Cracow
5533,Ottoof,1145.0,1194.0,of,Duke of Posen & Kalisch
5534,WladislawOdonicz,1190.0,1239.0,Odonicz,Duke of Poland
5535,Przemyslof,1220.0,1257.0,of,Duke von Posen & Gnesen
5536,Przemyslof,1257.0,1296.0,of,King of Poland
5537,Elizabethof,1286.0,1335.0,of,
5538,WaclawIIof,,1305.0,of,King of Poland
5539,WladyslawItheShortof,,1333.0,of,King of Poland
5540,CasimirIIIthe,,1370.0,the,King of Poland
5541,Elizabeth,,1380.0,Elizabeth,
5542,LouisItheGreatof,,1382.0,of,King of Hungary
5543,Jadwigaof,,1399.0,of,Queen of Poland
5544,Maryof,,1392.0,of,Queen of Hungary
5545,WladyslawIIJagielloof,,1434.0,of,King of Poland
5546,WladyslawIIIof,,1444.0,of,King of Poland
5547,CasimirIVof,1427.0,1492.0,of,King of Poland
5548,JohnIAlbertof,1459.0,1501.0,of,King of Poland
5549,Alexanderof,1461.0,1506.0,of,King of Poland
5550,SigismundItheElderof,1467.0,1548.0,of,King of Poland
5551,SigismundIIAugustusof,1520.0,1572.0,of,King of Poland
5552,Anne,,,Anne,
5553,Stephen of TransylvaniaBathory,1533.0,1586.0,TransylvaniaBathory,King of Poland
5554,Catherineof,,1583.0,of,
5555,Wladyslaw IV Sigismund of PolandVasa,1595.0,1648.0,PolandVasa,King of Poland
5556,John II Casimir of PolandVasa,1609.0,1672.0,PolandVasa,King of Poland
5557,Giselaof,,,of,Abbess of Chelles
5558,Rowland,,,Rowland,
5559,Juliana,,,Juliana,
5560,Archibald Campbell,,1440.0,Campbell,
5561,Robert of Shrewsburyde Bell\x88me,1054.0,1131.0,Bell\x88me,Earl of Shrewsbury 3rd
5562,William of PonthieuTalvas,,1171.0,PonthieuTalvas,Count of Ponthieu
5563,Ala Talvas,,1174.0,Talvas,
5565,Maud Marshal,,1248.0,Marshal,Marshall of England
5566,Joan de Vere,,1293.0,Vere,
5567,Eleanor Fitzalan,,,Fitzalan,
5568,Gundred de Warren,,1166.0,Warren,
5569,Roger of Warwickde Newburgh,1101.0,1153.0,Newburgh,Earl of Warwick 2nd
5570,Waleran of Warwickde Newburgh,,1203.0,Newburgh,Earl of Warwick 4th
5571,William Molines,,1425.0,Molines,Lord Molines
5572,Catherine Molines,,1465.0,Molines,
5573,Matilda,,1112.0,Matilda,
5574,GerbodofSt.,,,St.,Advocate at St. Bertin
5575,GerbodtheFlemingof,,,of,Earl of Chester
5576,_____ Guet,,,Guet,
5577,Richard Guet,,,Guet,
5578,Sister Guet,,,Guet,
5579,Rudolf II de Warenne,,,Warenne,
5580,Beatrice de Vascoeuil,1020.0,1059.0,Vascoeuil,
5581,Emma,,,Emma,
5582,???,,,???,
5583,Waleran of Meulande Beaumont,1104.0,1166.0,Beaumont,Earl of Worcester
5584,Eudes I the Red of BurgundyBorel,1058.0,1103.0,BurgundyBorel,Duke of Burgundy
5585,Helie (Ela) Borel,1080.0,1142.0,Borel,
5586,Bertrandof,,1112.0,of,Count of Toulouse
5587,Patrick de Salisbury,,1168.0,Salisbury,Earl of Salisbury 1st
5588,Hugh of NorfolkBigod,,1225.0,NorfolkBigod,Earl of Norfolk 3rd
5589,Maud,,1215.0,Maud,
5590,Gilbert de Sanford,,,Sanford,
5591,Alice de Sanford,,1312.0,Sanford,
5592,Joanof,1295.0,1361.0,of,
5593,Simon de Diriba,,,Diriba,
5594,Maud de Nerford,,,Nerford,
5595,Edward Warren,,,Warren,
5596,Constantine VII Porphyrogenitus,,,Porphyrogenitus,Byzantine Emperor
5597,Romanus I Lecapenus,,,Lecapenus,Byzantine Emperor
5598,Christopherof,,,of,Byzantine Emperor
5599,Anna Porphyrogenita,,1011.0,Porphyrogenita,
5600,Vladimir(St.)theGreatof,,1015.0,of,Grand Prince of Kiev
5601,YaroslavIthewiseof,,1054.0,of,Prince of Kiev
5602,Vodonof,,,of,Earl of Orleans
5603,Rowland,,,Rowland,
5604,Godfrey,,,Godfrey,
5605,Baldwin,,,Baldwin,
5606,Baldwin,,,Baldwin,
5607,Johnof,,,of,Earl of Comwyn
5608,PepinItheOldof,,,of,Mayor of Austrasia
5609,Doda(St.,,,(St.,
5610,Arnold(St.Arnulf)of,,,of,Bishop of Metz
5611,Anchises(Ansegisel),,,(Ansegisel),
5612,Pepin II of Austrasiad'Heristal,,,Austrasiad'Heristal,Duke of Austrasia
5613,Elphide(Chalpaida),,,(Chalpaida),
5614,EdmundIof,,,of,King of Scotland
5615,Ethelred,,1098.0,Ethelred,Abbot of Dunkeld
5616,Malcolm,,1094.0,Malcolm,
5617,Donald,,1085.0,Donald,
5618,William the NobleFitzDuncan,,1154.0,NobleFitzDuncan,Earl of Moray
5619,Malcolm,1113.0,,Malcolm,
5620,Claricia,,,Claricia,
5621,Hodierna,,,Hodierna,
5622,Luitgarda of Vermandois,,,Vermandois,
5625,Emma of Paris,,,Paris,
5626,ConanIthe,,,the,Duke of Brittany
5627,Godfrey(Geoffrey)of,,1008.0,of,Duke of Brittany
5628,Daughter,,,Daughter,
5629,RenaudIof,,1057.0,of,Count of Burgundy 1st
5631,Matilda de Montgomery,,,Montgomery,
5632,Almodis de laMarche,,1120.0,laMarche,Comtess de la Marche
5633,Emma,,,Emma,
5634,Adeliza,,,Adeliza,
5635,Guerinfrey d'Aumale,,,d'Aumale,Count of Aumale
5636,Berthe d'Aumale,,,d'Aumale,
5637,HughIIof,,,of,Count of Ponthieu
5638,William le Grosde Aumale,1115.0,1179.0,Aumale,Count of Aumale
5639,Stephen,,,Stephen,
5640,Ingelram,,,Ingelram,
5641,Four Daughters,,,Daughters,
5642,Alice le Meschin,,,Meschin,Lady of Skipton
5643,Cicily FitzDuncan,,,FitzDuncan,Lady of Skipton
5644,Amabilis FitzDuncan,,,FitzDuncan,
5645,Alix FitzDuncan,,1215.0,FitzDuncan,
5646,Hawisa de Aumale,,1213.0,Aumale,Countess of Aumale
5647,Geoffrey,,,Geoffrey,
5648,William the Boy of EgremontFitzDuncan,,,EgremontFitzDuncan,
5649,William de Mandeville,,1189.0,Mandeville,Earl of Essex 3rd
5650,Geoffrey FitzPiers,,1213.0,FitzPiers,Earl of Essex 4th
5651,Geoffrey de Mandeville,,1166.0,Mandeville,Count of Essex 2th
5652,William de Forz,,1195.0,Forz,Seigneur de Fors
5653,Baldwin de B\x88thune,,1212.0,B\x88thune,Seigneur de Choques
5654,William II de Forz,1191.0,1220.0,Forz,Count of Aumale
5655,Richard de Montfichet,,,Montfichet,
5656,Aveline de Montfichet,,1239.0,Montfichet,
5657,Christina de Galloway,,1246.0,Galloway,
5658,Isabella de Redvers,1237.0,1293.0,Redvers,Countess of Devon
5659,William de Forz,,,Forz,
5660,Teron de Forz,,,Forz,
5661,Thomas de Forz,1253.0,1269.0,Forz,
5662,John de Forz,,1260.0,Forz,
5663,Avice de Forz,,,Forz,
5664,Matilda(Maud),,,(Maud),
5665,ConanIIIof,,1148.0,of,Count of Brittany
5666,Berthaof,,1167.0,of,
5667,AlantheBlackof,1100.0,1146.0,of,Earl of Richmond 1st
5668,Hildegard,,,Hildegard,
5669,ConanIIof,,1066.0,of,Duke of Brittany
5670,Hawisa,,1072.0,Hawisa,
5671,Ho\x89lof,,1084.0,of,Duke of Brittany
5672,Blanche de France,1253.0,1321.0,France,
5673,Fernando de la Cerda,1255.0,1275.0,Cerda,Infant of Castile
5674,Beatrice (Elizabeth) von Hohenstaufen,1198.0,1212.0,Hohenstaufen,
5675,Fadriqueof,1224.0,1277.0,of,Infant of Castile
5676,Enriqueof,1230.0,1304.0,of,Infant of Castile
5677,Felipeof,1231.0,1274.0,of,Archbishop of Seville
5678,Sanchoof,1233.0,1261.0,of,Archbishop Toledo&Seville
5679,Manuelof,1234.0,1283.0,of,sn de Villena
5680,Fernandoof,1239.0,1269.0,of,Cde d'Aumale
5681,Luisof,1243.0,1269.0,of,sn de Marchenza
5682,Sim\xA2n,,,Sim\xA2n,
5683,Juan,,,Juan,
5684,JaimeItheConquerorof,1208.0,1276.0,of,King of Arag\xA2n
5685,Violanteof,,1301.0,of,
5686,Berenguela,1253.0,1313.0,Berenguela,Nun
5687,Beatrizof,1254.0,1280.0,of,Infanta of Castile
5688,Leonor,1256.0,1275.0,Leonor,
5689,Constanza,1259.0,,Constanza,
5690,Pedroof,1261.0,1283.0,of,sn de Ledesma
5691,Juanof,1264.0,1319.0,of,Infant of Castile
5692,Isabel,1265.0,,Isabel,
5693,Violante,1266.0,,Violante,
5694,Jaime(Juan)of,1268.0,1284.0,of,sn de los Cameros
5695,WilliamIXof,,1292.0,of,Margrave of Montferrat
5696,Margueriteof,,,of,
5697,Joannaof,,,of,
5698,Diego Lopez de Haro,,1310.0,Haro,Cde de Vizcaya
5699,Alfonso de la Cerda,1270.0,1327.0,Cerda,Infant of Castile
5700,Fernando de la Cerda,1272.0,1322.0,Cerda,Infant of Castile
5701,Maria Alfonsa de Molina,1260.0,1321.0,Molina,
5702,Fernando IV the Summoned of Castile,1285.0,1312.0,Castile,King of Castile & Le\xA2n
5703,Mayor Guill\x82n de Guzman,,1262.0,Guzman,
5704,Beatriz of CastileAlfonso,1242.0,1303.0,CastileAlfonso,
5705,AlfonsoIIIof,1215.0,1279.0,of,King of Portugal&Algarve
5706,DenistheFarmerof,1261.0,1325.0,of,King of Portugal&Algarve
5707,Alfonso Fern\xA0ndez,,1281.0,Fern\xA0ndez,
5708,Urraca,,,Urraca,
5709,Mart\xC6n,,,Mart\xC6n,
5710,Ethilof,,,of,Queen of Gwynedd
5711,Cadell ap Brochwel,,,Brochwel,
5712,Nest,,,Nest,
5713,Three Sons,,,Sons,
5714,Clydog ap Cadell,,,Cadell,
5715,Llywarch ap Hyfaidd,,,Hyfaidd,
5716,Elen,,,Elen,
5717,Rhodri ap Hywel Dda,,,Dda,
5718,Edwin ap Hywel Dda,,,Dda,
5719,Cadwallon ap Owain,,,Owain,
5720,Idwallon ap Owain,,,Owain,
5721,Cadwallon ap Maredudd,,,Maredudd,
5722,Rhiwallon ap Cynfyn,,1073.0,Cynfyn,
5723,Gwladys,,,Gwladys,
5724,Three Sons TwoDaughters,,,TwoDaughters,
5725,Rhodri ap Idwal Foel,,,Foel,
5726,Olaf of DublinSihtricson,,,DublinSihtricson,King of Dublin
5727,Two Daughters,,,Daughters,
5728,Maelgwin,,,Maelgwin,
5729,Rhodri ap Owain Gwynedd,,1195.0,Gwynedd,
5730,One Son TwoDaughters,,,TwoDaughters,
5731,Two Sons,,,Sons,
5732,Daughter,,,Daughter,
5733,Llywarch Goch,,,Goch,
5734,Tanswystl,,,Tanswystl,
5735,Isabella Mortimer,,,Mortimer,
5736,John Fitzalan,,1272.0,Fitzalan,
5737,Richard Fitzalan,,1302.0,Fitzalan,Earl of Arundel
5738,Ralph D'Arderne,,,D'Arderne,
5739,Robert Hastings,,,Hastings,
5740,Aliceof,,,of,
5741,Eleanor de Clare,1292.0,1337.0,Clare,
5742,Margaret de Clare,1292.0,1342.0,Clare,
5743,Thomas de Monthermer,1301.0,1340.0,Monthermer,Baron Monthermer 2nd
5744,Hugh the younger leDespenser,,1326.0,leDespenser,Lord le Despenser
5745,Ragnhildof,,,of,
5746,One other,,,other,
5747,Arnaud Guillaume de Marsan,,,Marsan,
5748,Miramond de Marsan,,,Marsan,
5749,Fortaner de Lescun,,,Lescun,
5750,Claramond de Marsan,,1287.0,Marsan,
5751,Pierre Caillau,,,Caillau,
5752,Garsie de Gabaston,,,Gabaston,
5753,Arnaud de Gabaston,,1302.0,Gabaston,
5754,Bernard de Gabaston,,,Gabaston,
5755,Arnaud-Guillaume de Marsan,,,Marsan,
5756,Piers Gaveston,1284.0,1312.0,Gaveston,Earl of Cornwall
5757,Gerard de Gabaston,,,Gabaston,
5758,Raimond-Arnaud de Gabaston,,,Gabaston,
5759,Amy de Gabaston,,,Gabaston,
5760,Guillaume-Arnaud de Gabaston,,,Gabaston,
5761,Joan Gaveston,,,Gaveston,
5762,Arnaud de Marsan,,,Marsan,
5763,Jean de Marsan,,,Marsan,
5764,Piers de Marsan,,,Marsan,
5765,Bernard de Marsan,,,Marsan,
5766,Jean de Marsan,,,Marsan,
5767,John de Driby,,,Driby,
5768,Wulfthryth,,,Wulfthryth,
5769,Edmund,,,Edmund,
5771,AElflaeda ,,,,A nun at Winchester
5772,Daughter,,,Daughter,
5773,Wulfryth(St),,1000.0,(St),Abbess of Wilton
5774,AEthelbert,,,AEthelbert,Ealdorman
5775,Thurkil the TallHavi,,1039.0,TallHavi,Havi
5776,(Daughter),,1051.0,(Daughter),Abbess of Wherwell
5777,Ralph the Timid of Herefordde Sudeley,,1057.0,Sudeley,Earl of Hereford
5778,Walterof,,1064.0,of,Count of Mantes&the Vexin
5779,HerbertWake-Dogof,,,of,Count of Maine
5780,Biota,,,Biota,
5781,Margaretof,,1201.0,of,Countess of Hereford
5782,Humphrey de Bohun,,1182.0,Bohun,Constable of England
5783,Maud,,1152.0,Maud,
5784,Isabella,,,Isabella,
5785,Margaretof,1193.0,1259.0,of,
5786,Isabella,,,Isabella,
5787,Marjorie(Margaret),,1244.0,(Margaret),
5789,Roger Bigod,1212.0,1270.0,Bigod,Earl of Norfolk 4
5790,Gilbert Marshal,,1241.0,Marshal,Earl of Pembroke 7
5791,Robert,,,Robert,
5792,Henry,,1215.0,Henry,
5793,Alan de Balliol,,,Balliol,
5794,Margaret Balliol,,,Balliol,
5795,Henry Balliol,,1332.0,Balliol,
5796,Christina de Ireby,,1305.0,Ireby,
5797,William de Ireby,,,Ireby,Sir
5798,Eleanor,,1331.0,Eleanor,
5799,Margaret Bruce,,,Bruce,
5800,John Bruce,,1327.0,Bruce,
5801,Willian Ross,,1372.0,Ross,Earl of Ross 5
5802,Egidia Stuart,,,Stuart,
5803,Robert Stuart,,,Stuart,
5804,Alexander Stuart,1430.0,1430.0,Stuart,Duke of Rothesay
5805,Louis of Genevade Savoie,,1482.0,Savoie,Count of Geneva
5806,Child Stuart,1450.0,1450.0,Stuart,
5807,David Stuart,1454.0,1457.0,Stuart,Earl of Moray
5808,James of RothesayStuart,1507.0,1508.0,RothesayStuart,Duke of Rothesay
5809,Daughter Stuart,1508.0,1508.0,Stuart,
5810,Daughter Stuart,1512.0,1512.0,Stuart,
